Country,Number of Covid cases,Number of Covid deaths,Region,Population,Latitude of capital,Longitude of capital
Japan,613072,10483,Asia,126476461,35.6897,139.6922
Indonesia,1697305,46496,Asia,273523615,-6.2146,106.8451
Philippines,1080172,17991,Asia,109581078,14.5958,120.9772
South Korea,125519,1851,Asia,51269185,37.5833,127.0000
Mexico,2355985,218007,North America,128932753,19.4333,-99.1333
China,90726,4636,Asia,1439323776,39.9050,116.3914
Egypt,232905,13655,Africa,102334404,30.0561,31.2394
Russia,4855128,112246,Europe,145934462,55.7558,37.6178
Thailand,76811,336,Asia,69799978,13.7500,100.5167
Argentina,3071496,65865,South America,45195774,-34.5997,-58.3819
Bangladesh,769160,11796,Asia,164689383,23.7161,90.3961
Iran,2610018,73906,Asia,83992949,35.7000,51.4167
France,5706378,105631,Europe,65273511,48.8566,2.3522
United Kingdom,4428553,127583,Europe,67886011,51.5072,-0.1275
Peru,1824457,62976,South America,32971854,-12.0500,-77.0333
Colombia,2934611,76015,South America,50882891,4.6126,-74.0705
Angola,27529,618,Africa,32866272,-8.8383,13.2344
Malaysia,427927,1610,Asia,32365999,3.1478,101.6953
Vietnam,3090,35,Asia,97338579,21.0245,105.8412
Sudan,33648,2365,Africa,43849260,15.6031,32.5265
Chile,1222949,26726,South America,19116201,-33.4500,-70.6667
Saudi Arabia,423406,7032,Asia,34813871,24.6500,46.7100
Tanzania,509,21,Africa,59734218,-6.8000,39.2833
Iraq,1098187,15673,Asia,40222493,33.3500,44.4167
Singapore,61286,31,Asia,5850342,1.3000,103.8000
Kenya,161393,2825,Africa,53771296,-1.2864,36.8172
Turkey,4955594,41883,Asia,84339067,39.9300,32.8500
United States,33325761,593237,North America,331002651,38.9047,-77.0163
Jordan,716923,8988,Asia,10203134,31.9500,35.9333
Afghanistan,61455,2673,Asia,38928346,34.5328,69.1658
Germany,3476473,84685,Europe,83783942,52.5167,13.3833
Algeria,123272,3299,Africa,43851044,36.7764,3.0586
Spain,3551262,78566,Europe,46754778,40.4189,-3.6919
Ethiopia,260139,3795,Africa,114963588,9.0272,38.7369
Brazil,14936464,414645,South America,212559417,-15.7744,-48.0773
Ukraine,2097024,45451,Europe,43733762,50.4500,30.5236
Yemen,6414,1260,Asia,29825964,15.3500,44.2000
Italy,4070400,122005,Europe,60461826,41.8931,12.4828
Bolivia,312407,13123,South America,11673021,-16.4942,-68.1475
Taiwan,1173,12,Asia,23816775,25.0478,121.5319
Madagascar,38337,695,Africa,27691018,-18.9386,47.5214
Dominican Republic,268561,3509,North America,10847910,18.4764,-69.8933
Guatemala,231289,7642,North America,17915568,14.6099,-90.5252
Cameroon,72250,1107,Africa,26545863,3.8578,11.5181
Uzbekistan,93176,657,Asia,33469203,41.3000,69.2667
